asset id,address,asset area,asset type,asset_purchase,asset_change,tax id
2918436992,18231 Oakridge Parkway,862, hotel,01/02/2021,13/12/2021,1568965874
3977916915,15275 Sachtjen Lane,839, office,20/04/2021,16/07/2023,1542369856
4208510125,3 Merrick Alley,563,office,28/09/2021,22/04/2023,1523698569
4674107237,9951 2nd Point,347,Hotel,07/04/2021,01/03/2022,9643948722
3815957283,9878 Goodland Place,344,office,23/06/2021,15/03/2022,1998974929
2542080761,5981 Derek Center,928,Apartment,21/04/2021,07/11/2023,4866413555
4789866775,76143 Helena Alley,422,Apartment,11/09/2021,27/09/2023,7119638695
1910110789,34 Manley Center,770,land,20/03/2021,19/08/2022,1472964258
7554320950,599 Moulton Junction,300,Apartment,18/03/2021,25/11/2021,7534254276
3788893408,68 Golf Terrace,258,Apartment,20/02/2021,20/12/2021,5796492881
5620650605,28 Thompson Drive,823,land,20/09/2021,23/12/2021,3525293153
6084677955,0630 Kinsman Court,837,Hotel,12/11/2020,14/11/2021,1584924868
5272420503,87 Riverside Point,881,Hotel,27/06/2021,25/11/2023,1755565188
1086450646,12 Derek Center,345,Apartment,02/02/2021,26/10/2022,9483442283
7348891327,89013 Longview Point,585,land,06/11/2020,07/02/2022,5543721423
4042873340,1 Riverside Pass,140,office,28/02/2021,20/12/2022,9211935538
6980913746,04119 Sommers Plaza,811,Apartment,06/09/2021,28/01/2024,9153846231
7404012563,189 Redwing Court,444,office,18/08/2021,04/03/2023,3556248286
2978977780,98803 American Center,811,office,21/12/2020,20/09/2023,5169775417
8482947192,897 Fremont Avenue,549,land,01/01/2021,02/04/2024,5647154158
3218254766,980 Anderson Point,884,land,13/10/2020,20/06/2023,4198888634
4685116997,42571 Golden Leaf Way,892,Apartment,17/07/2021,28/12/2023,8864155356
5112294938,2257 Anthes Hill,109,land,04/05/2021,10/03/2022,3531192527
4546928934,6089 Pleasure Junction,990,Hotel,03/12/2020,30/12/2021,7318887334
8104910914,0302 Moland Parkway,692,office,16/07/2021,22/09/2023,1162271649
2947450154,7822 Heffernan Pass,796,land,22/06/2021,05/01/2023,9223442661
3182399457,7 Kennedy Alley,896,land,16/03/2021,28/07/2022,2848279755
4640353073,888 Carberry Way,927,Hotel,30/09/2021,30/09/2022,9395754226
9182444264,944 Butternut Hill,321,land,09/02/2021,01/02/2022,8934816974
1906548352,4207 Anhalt Parkway,533,Hotel,15/03/2021,22/10/2023,8933643377
7073335064,392 Hooker Junction,790,land,29/04/2021,12/08/2022,3959326721
2926330958,63168 Dixon Circle,482,office,27/12/2020,18/11/2021,9957395313
2520783788,0724 Beilfuss Point,626,office,06/03/2021,27/06/2023,4447758479
8736421640,98 Gerald Parkway,800,land,12/10/2020,07/02/2023,9992577847
4259231067,052 Maple Pass,358,land,19/12/2020,16/12/2023,8334941149
1947849837,62632 Thierer Drive,866,Hotel,12/09/2021,24/12/2023,4427272442
1751609106,3 Dixon Way,538,Apartment,09/03/2021,29/10/2023,2211965788
9886682835,384 Novick Park,461,land,21/08/2021,26/07/2023,4471966292
3133585528,221 Tennessee Avenue,518,land,25/02/2021,29/11/2023,9877814153
5362014774,9 Bartillon Drive,121,office,15/01/2021,10/09/2022,3995261136
4866365960,51 Jana Circle,254,land,29/04/2021,14/12/2022,3337485563
7785162935,456 Clemons Avenue,263,land,11/01/2021,19/07/2022,1891219639
6902701474,54 Lakeland Hill,638,Hotel,08/01/2021,29/07/2023,6769459998
4210340623,242 Twin Pines Pass,284,Hotel,14/02/2021,30/01/2022,2931666897
6374423052,4 Farmco Way,800,Apartment,09/09/2021,28/05/2022,4159894618
3188478074,9341 Summer Ridge Court,528,land,06/01/2021,22/02/2022,6795552533
3104566656,37267 Victoria Center,379,office,22/01/2021,31/01/2024,5458194925
5200299790,57407 Oak Valley Center,501,office,08/02/2021,07/01/2023,2918995427
2426274041,6 Hooker Point,989,office,24/10/2020,30/07/2022,3522788675
7967055973,02257 Vahlen Court,133,Apartment,21/12/2020,16/11/2022,9853322754
2216083609,77598 Dexter Pass,397,Hotel,12/05/2021,05/03/2023,2926669992
7190912917,37 Bowman Center,670,Apartment,22/07/2021,10/07/2023,6818789889
1065675650,37 Sundown Place,861,office,12/08/2021,05/11/2022,9349733469
6301440603,80 Badeau Parkway,782,land,11/10/2020,13/12/2021,2994527266
6594069555,9245 Mayfield Place,371,Hotel,18/04/2021,15/09/2022,9641782372
5845530936,44634 Huxley Trail,648,land,14/02/2021,25/01/2023,2563441712
2699034849,96 Butterfield Hill,153,office,21/12/2020,27/01/2022,9993116215
1088668426,68 Gulseth Drive,541,land,01/11/2020,22/12/2023,6477259176
3956266377,0 Pennsylvania Pass,704,Hotel,27/03/2021,28/03/2024,4249544451
7188701690,46454 Northview Crossing,859,Apartment,27/01/2021,04/01/2023,4922593656
8707698896,76257 Carioca Avenue,801,land,14/11/2020,10/07/2022,2243472184
3321977282,2373 Dovetail Hill,508,land,19/10/2020,24/11/2021,5486167339
3136202924,13 Nelson Trail,987,Hotel,28/10/2020,08/07/2022,6986364288
2507346293,410 Surrey Pass,236,land,29/01/2021,21/10/2022,5859512998
4984502981,9 Parkside Terrace,791,Hotel,14/09/2021,17/04/2024,1142896819
8533096373,72511 Farmco Center,388,land,11/01/2021,30/11/2022,4828447655
3700940541,3596 Elgar Pass,170,Hotel,31/08/2021,02/12/2023,1889314599
5753047730,60 Sherman Crossing,671,Apartment,08/05/2021,16/01/2023,4191683544
3669129449,25 Kropf Junction,603,office,21/01/2021,24/02/2023,1775137119
2175095720,69173 Independence Terrace,482,Hotel,06/11/2020,19/04/2022,4352222858
6922765964,2 2nd Street,515,Hotel,16/10/2020,30/01/2024,8387436752
7809168634,2 Summer Ridge Road,640,land,26/06/2021,04/08/2023,3899829445
6691266089,604 Redwing Avenue,662,Hotel,04/07/2021,17/03/2023,9843343751
4767766186,5 Valley Edge Parkway,170,Apartment,02/02/2021,07/06/2022,6427793236
8625661719,45 Thompson Street,370,Apartment,09/12/2020,28/10/2023,7127372749
6254312832,81 Eggendart Road,783,Apartment,21/03/2021,15/09/2023,2757791555
2666049179,19 Elka Drive,719,Apartment,09/11/2020,02/02/2022,6852951366
1582633064,0440 Shelley Trail,924,office,03/08/2021,19/05/2022,5296343145
2602003953,4 Stoughton Drive,553,office,08/03/2021,25/08/2023,7324658837
9868052411,8 West Street,291,Apartment,17/01/2021,23/05/2022,8699926337
3416927784,475 Sycamore Crossing,170,office,01/12/2020,08/10/2022,3117192153
9891142097,7581 Forest Place,153,office,18/01/2021,27/07/2023,3141597276
8553252169,11903 Vernon Park,850,Apartment,02/06/2021,15/12/2021,7788211143
3002720469,55 Bellgrove Alley,587,office,29/03/2021,10/05/2024,8374595871
9517888555,8970 Burrows Trail,660,land,09/11/2020,10/05/2023,4345355892
4179819584,0406 Buell Plaza,841,Hotel,03/04/2021,20/01/2024,6317891282
1167083578,93 Arrowood Parkway,447,land,17/12/2020,16/05/2023,9123486739
3841455343,4 Glacier Hill Circle,740,Hotel,29/10/2020,27/01/2024,6692136628
6687478049,84518 Scoville Alley,568,office,06/12/2020,04/11/2023,9296943778
6680312546,758 Menomonie Parkway,699,land,25/10/2020,03/05/2024,4433298125
2435356802,587 Grayhawk Center,691,Hotel,30/04/2021,16/10/2023,7585721399
1132798801,8940 South Pass,906,Apartment,04/08/2021,06/05/2022,8469385777
1962338137,7 Doe Crossing Hill,822,Hotel,12/09/2021,17/08/2022,4347482366
8749809604,085 Schmedeman Court,406,office,26/07/2021,16/06/2022,5382196513
4513516412,69515 Southridge Plaza,207,Hotel,07/08/2021,17/11/2022,7614183181
6676325946,232 Park Meadow Parkway,454,Hotel,23/08/2021,16/03/2024,5718998928
3012372031,325 Algoma Junction,751,Hotel,19/07/2021,07/08/2023,7429724848
7460620467,3 Burrows Drive,268,Hotel,31/05/2021,07/04/2024,2954698321
4299378176,8092 Columbus Circle,537,land,02/03/2021,16/01/2023,6451963427
7839915144,8685 Monument Pass,257,office,11/05/2021,23/03/2022,8932536646
3366623569,87 Quincy Hill,238,land,08/08/2021,21/10/2023,6655749611
6773237570,7 Shelley Way,196,land,31/07/2021,21/06/2023,7276911918
6508239771,2636 Marcy Parkway,168,office,05/12/2020,21/11/2022,2453342915
8241838751,53005 Sachs Park,916,Hotel,28/02/2021,02/01/2022,5753121797
8635476476,213 Mallory Center,749,land,24/08/2021,10/09/2022,4238776638
5092207913,5670 Starling Terrace,378,Apartment,26/01/2021,05/02/2024,8518527949
4840174009,9 Chinook Pass,525,land,01/07/2021,21/05/2023,3116514217
1979175101,96488 Westridge Point,799,Hotel,27/12/2020,22/03/2024,4249847684
6525326634,29 Algoma Plaza,432,Apartment,05/06/2021,03/04/2022,3467579293
8452053063,06444 Clemons Place,438,Hotel,16/09/2021,13/09/2023,7398738537
3660262339,1762 Independence Parkway,918,office,01/07/2021,25/12/2021,6178844454
9378690004,34 Welch Center,821,Hotel,01/06/2021,12/03/2023,4891838229
2017067629,7587 Monument Alley,698,Apartment,25/04/2021,18/12/2023,3654654692
7505177774,3 Hallows Drive,987,office,18/10/2020,18/09/2022,2447112216
6131063922,8 Riverside Plaza,506,office,20/11/2020,18/02/2022,6371867477
6821447958,3 Thompson Park,519,Hotel,13/01/2021,12/11/2021,5327567578
2650296849,01 Lindbergh Circle,124,Hotel,16/07/2021,04/12/2023,8928992424
6684889558,4 Messerschmidt Alley,114,land,21/02/2021,11/10/2023,9346399791
2134724416,52050 Northport Park,898,office,19/02/2021,21/05/2024,8374369274
6122328113,64082 Elka Pass,698,Apartment,13/01/2021,23/01/2023,7153662356
9858075079,1 Monterey Point,889,office,02/05/2021,30/04/2024,4964928271
2850579592,00922 Twin Pines Road,347,land,07/08/2021,29/09/2022,1565834716
9759268384,1224 Claremont Junction,538,land,28/07/2021,26/11/2022,4364493657
4800177951,26402 Longview Point,761,land,28/09/2021,07/11/2023,9673912665
4489169750,9 Mcbride Crossing,512,land,02/08/2021,18/03/2023,5168924484
1046105790,32437 Fremont Trail,855,Apartment,11/11/2020,15/05/2023,3568793363
9186244715,63 Daystar Center,164,land,25/05/2021,23/07/2023,2999722448
3817575126,82 Cherokee Way,366,Hotel,14/01/2021,15/02/2023,2871978594
9295921836,68 Grayhawk Terrace,106,land,24/10/2020,18/12/2021,6915866749
9578288739,69 Hallows Drive,947,office,30/12/2020,16/01/2024,1858925246
2486925077,189 Grover Street,836,Hotel,29/12/2020,30/11/2022,9837494342
6218752361,5168 Vermont Crossing,616,Hotel,29/01/2021,16/12/2023,1613227394
4902410515,0 Monument Park,768,office,06/06/2021,07/01/2022,8146142557
6519214320,94 Westport Way,957,Apartment,21/03/2021,03/12/2023,7685767957
8351193229,8509 Dwight Alley,133,Apartment,23/10/2020,22/02/2023,6285298595
1745220989,12 Maple Wood Drive,357,office,26/01/2021,16/06/2023,3478122384
1462345852,34598 Lawn Parkway,222,Hotel,18/02/2021,31/05/2022,9197584155
2405324808,86892 Mccormick Junction,734,land,21/11/2020,23/11/2022,6277365464
7577019523,6180 Eggendart Trail,539,office,01/02/2021,17/04/2022,4185733533
7609678396,3 Moulton Pass,392,office,01/07/2021,29/01/2024,4481431147
2084006950,972 Lighthouse Bay Terrace,225,Hotel,26/10/2020,19/10/2022,5651222298
8005880142,118 Darwin Alley,720,office,02/05/2021,10/10/2023,3785529772
8769844530,493 Ilene Pass,961,Apartment,22/05/2021,16/01/2024,5648443587
9280166969,66 Hazelcrest Drive,814,Apartment,21/06/2021,20/11/2022,3764995215
8166995362,13 Vermont Street,694,Apartment,19/07/2021,21/03/2023,4584246332
3214807443,3945 American Ash Court,109,office,08/06/2021,26/07/2022,4649114331
8413545029,64456 Carberry Drive,583,Apartment,28/11/2020,26/07/2023,2658286596
3556856508,72 Reinke Plaza,473,Apartment,22/05/2021,31/01/2023,4163743852
5292158812,229 Dahle Lane,627,office,13/09/2021,17/01/2023,2598693481
6664452390,76 Old Shore Lane,237,Hotel,24/02/2021,07/06/2023,9615467928
1244412704,34 Southridge Center,163,land,18/08/2021,13/04/2022,8863711117
6624726310,591 Marquette Crossing,134,Hotel,15/01/2021,26/11/2021,4333196364
